user,path,loadtime,timestamps
admin,/api/,GET,0.0,2026-02-23 14:13:26.858689
admin,/api/,GET,0.0,2026-02-23 14:13:27.039126
admin,/api/,GET,0.0,2026-02-23 14:13:27.223583
admin,/api/,GET,0.0,2026-02-23 14:13:27.412820
admin,/api/,GET,0.0,2026-02-23 14:13:27.616560
admin,/api/,GET,0.0,2026-02-23 14:13:27.828812
admin,/api/,GET,0.0,2026-02-23 14:13:28.120405
admin,/api/,GET,0.0,2026-02-23 14:13:28.440198
admin,/api/,GET,0.0,2026-02-23 14:13:28.620659
admin,/api/,GET,0.0,2026-02-23 14:13:28.808704
admin,/api/,GET,0.0,2026-02-23 14:13:28.971223
admin,/api/,GET,0.0,2026-02-23 14:13:29.170014
admin,/api/,GET,0.0,2026-02-23 14:13:29.341820
admin,/api/,GET,0.0,2026-02-23 14:13:30.482298
admin,/api/,GET,0.0,2026-02-23 14:13:30.670464
admin,/api/,GET,0.0,2026-02-23 14:13:30.949809
admin,/api/,GET,0.0,2026-02-23 14:13:31.170393
admin,/api/,GET,0.0,2026-02-23 14:13:31.705468
admin,/favicon.ico,GET,0.0,2026-02-23 14:13:31.779769
admin,/api/,GET,0.0,2026-02-23 14:13:31.986675
admin,/api/,GET,0.0,2026-02-23 14:13:32.228208
admin,/api/,GET,0.0,2026-02-23 14:13:32.572119
admin,/api/,GET,0.0,2026-02-23 14:13:32.784293
admin,/api/,GET,0.0,2026-02-23 14:13:33.023479
admin,/api/,GET,0.0,2026-02-23 14:13:33.270424
admin,/api/,GET,0.0,2026-02-23 14:13:33.518144
admin,/api/,GET,0.0,2026-02-23 14:13:33.792092
admin,/api/,GET,0.0,2026-02-23 14:13:34.276514
admin,/api/,GET,0.0,2026-02-23 14:13:34.522763
admin,/api/,GET,0.0,2026-02-23 14:13:34.820265
admin,/api/,GET,0.0,2026-02-23 14:13:35.016636
admin,/api/,GET,0.0,2026-02-23 14:13:35.267385
admin,/api/,GET,0.0,2026-02-23 14:13:35.735599
admin,/api/,GET,0.0,2026-02-23 14:13:35.954895
admin,/api/,GET,0.0,2026-02-23 14:13:36.185161
admin,/api/,GET,0.0,2026-02-23 14:13:36.423478
admin,/api/,GET,0.0,2026-02-23 14:13:36.656124
admin,/api/,GET,0.0,2026-02-23 14:13:36.853536
admin,/api/,GET,0.0,2026-02-23 14:13:37.207978
admin,/api/,GET,0.0,2026-02-23 14:13:37.405828
admin,/api/,GET,0.0,2026-02-23 14:13:37.634545
admin,/api/,GET,0.0,2026-02-23 14:13:37.907009
admin,/api/,GET,0.0,2026-02-23 14:13:38.144850
admin,/api/,GET,0.0,2026-02-23 14:13:38.409466
admin,/api/,GET,0.0,2026-02-23 14:13:38.870785
admin,/api/,GET,0.0,2026-02-23 14:13:39.155022
